file,status,gpu,returncode,error
reviewer_runs/architecture_control/ARCH_low_reupload_QCNN_s44/target_attack_data.pt,ok,7,0,
reviewer_runs/architecture_control/ARCH_low_reupload_QCNN_s43/target_attack_data.pt,ok,1,0,
reviewer_runs/architecture_control/ARCH_low_reupload_QNN_s44/target_attack_data.pt,ok,5,0,
reviewer_runs/architecture_control/ARCH_low_reupload_QNN_s45/target_attack_data.pt,ok,2,0,
reviewer_runs/architecture_control/ARCH_low_reupload_mlp_qnn_s43/target_attack_data.pt,ok,0,0,
reviewer_runs/architecture_control/ARCH_low_reupload_mlp_qnn_s44/target_attack_data.pt,ok,3,0,
reviewer_runs/architecture_control/ARCH_low_reupload_mlp_qnn_s45/target_attack_data.pt,ok,6,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d2_s43/target_attack_data.pt,ok,4,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d6_s43/target_attack_data.pt,ok,5,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d2_s44/target_attack_data.pt,ok,7,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d6_s45/target_attack_data.pt,ok,0,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d2_s45/target_attack_data.pt,ok,1,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d6_s44/target_attack_data.pt,ok,2,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s44/target_attack_data.pt,ok,6,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s43/target_attack_data.pt,ok,3,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s45/target_attack_data.pt,ok,4,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_z_r1_d2_s43/target_attack_data.pt,ok,1,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d6_s45/target_attack_data.pt,ok,0,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d6_s43/target_attack_data.pt,ok,5,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_z_r1_d2_s44/target_attack_data.pt,ok,2,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_z_r1_d2_s45/target_attack_data.pt,ok,6,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d6_s44/target_attack_data.pt,ok,7,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d2_s43/target_attack_data.pt,ok,0,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_z_r1_d6_s43/target_attack_data.pt,ok,3,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d2_s44/target_attack_data.pt,ok,5,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_z_r1_d6_s44/target_attack_data.pt,ok,4,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d2_s45/target_attack_data.pt,ok,2,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_z_r1_d6_s45/target_attack_data.pt,ok,1,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s43/target_attack_data.pt,ok,6,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s44/target_attack_data.pt,ok,7,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_zz_r1_d2_s45/target_attack_data.pt,ok,4,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s45/target_attack_data.pt,ok,0,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_zz_r1_d2_s43/target_attack_data.pt,ok,3,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_zz_r1_d2_s44/target_attack_data.pt,ok,5,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_zz_r1_d6_s43/target_attack_data.pt,ok,2,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_zz_r1_d6_s45/target_attack_data.pt,ok,6,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_zz_r5_d2_s43/target_attack_data.pt,ok,7,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_zz_r1_d6_s44/target_attack_data.pt,ok,1,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_zz_r5_d2_s45/target_attack_data.pt,ok,0,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_zz_r5_d6_s44/target_attack_data.pt,ok,5,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_zz_r5_d6_s43/target_attack_data.pt,ok,3,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_zz_r5_d2_s44/target_attack_data.pt,ok,4,0,
reviewer_runs/multiseed_factorial/MNIST_QNN_zz_r5_d6_s45/target_attack_data.pt,ok,2,0,
