experiment,dataset,architecture,source_run_id,n_wires,pad_mode,fm_ent,ql_ent,ql_op,ql_rev,vector_train,vector_valid,vector_test,batch_size,epochs,extra_feats,learning_rate,weight_decay,credit_data_path,credit_pca_components,block_id,seed,model_seed,init_seed,data_seed,split_seed,target_id,role,structural_cell_id,fm_kind,fm_op,reps,depth,feature_angle_scale
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b01,30261,30261,30261,20261,20261,CREDIT_SCALE_eff_su2_r5_d2_a0p5_b01,eff_su2_r5_d2_alpha0.5,eff_su2_r5_d2,eff_su2,cx,5,2,0.5
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b01,30261,30261,30261,20261,20261,CREDIT_SCALE_eff_su2_r5_d2_a2p0_b01,eff_su2_r5_d2_alpha2.0,eff_su2_r5_d2,eff_su2,cx,5,2,2.0
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b02,30262,30262,30262,20262,20262,CREDIT_SCALE_z_r1_d2_a0p5_b02,z_r1_d2_alpha0.5,z_r1_d2,z,NA,1,2,0.5
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b02,30262,30262,30262,20262,20262,CREDIT_SCALE_z_r1_d2_a2p0_b02,z_r1_d2_alpha2.0,z_r1_d2,z,NA,1,2,2.0
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b02,30262,30262,30262,20262,20262,CREDIT_SCALE_z_r5_d2_a0p5_b02,z_r5_d2_alpha0.5,z_r5_d2,z,NA,5,2,0.5
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b02,30262,30262,30262,20262,20262,CREDIT_SCALE_z_r5_d2_a2p0_b02,z_r5_d2_alpha2.0,z_r5_d2,z,NA,5,2,2.0
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b02,30262,30262,30262,20262,20262,CREDIT_SCALE_zz_r1_d2_a0p5_b02,zz_r1_d2_alpha0.5,zz_r1_d2,zz,NA,1,2,0.5
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b02,30262,30262,30262,20262,20262,CREDIT_SCALE_zz_r1_d2_a2p0_b02,zz_r1_d2_alpha2.0,zz_r1_d2,zz,NA,1,2,2.0
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b02,30262,30262,30262,20262,20262,CREDIT_SCALE_zz_r5_d2_a0p5_b02,zz_r5_d2_alpha0.5,zz_r5_d2,zz,NA,5,2,0.5
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b02,30262,30262,30262,20262,20262,CREDIT_SCALE_zz_r5_d2_a2p0_b02,zz_r5_d2_alpha2.0,zz_r5_d2,zz,NA,5,2,2.0
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b02,30262,30262,30262,20262,20262,CREDIT_SCALE_eff_su2_r1_d2_a0p5_b02,eff_su2_r1_d2_alpha0.5,eff_su2_r1_d2,eff_su2,cx,1,2,0.5
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b02,30262,30262,30262,20262,20262,CREDIT_SCALE_eff_su2_r1_d2_a2p0_b02,eff_su2_r1_d2_alpha2.0,eff_su2_r1_d2,eff_su2,cx,1,2,2.0
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b02,30262,30262,30262,20262,20262,CREDIT_SCALE_eff_su2_r5_d2_a0p5_b02,eff_su2_r5_d2_alpha0.5,eff_su2_r5_d2,eff_su2,cx,5,2,0.5
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b02,30262,30262,30262,20262,20262,CREDIT_SCALE_eff_su2_r5_d2_a2p0_b02,eff_su2_r5_d2_alpha2.0,eff_su2_r5_d2,eff_su2,cx,5,2,2.0
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b03,30263,30263,30263,20263,20263,CREDIT_SCALE_z_r1_d2_a0p5_b03,z_r1_d2_alpha0.5,z_r1_d2,z,NA,1,2,0.5
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b03,30263,30263,30263,20263,20263,CREDIT_SCALE_z_r1_d2_a2p0_b03,z_r1_d2_alpha2.0,z_r1_d2,z,NA,1,2,2.0
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b03,30263,30263,30263,20263,20263,CREDIT_SCALE_z_r5_d2_a0p5_b03,z_r5_d2_alpha0.5,z_r5_d2,z,NA,5,2,0.5
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b03,30263,30263,30263,20263,20263,CREDIT_SCALE_z_r5_d2_a2p0_b03,z_r5_d2_alpha2.0,z_r5_d2,z,NA,5,2,2.0
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b03,30263,30263,30263,20263,20263,CREDIT_SCALE_zz_r1_d2_a0p5_b03,zz_r1_d2_alpha0.5,zz_r1_d2,zz,NA,1,2,0.5
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b03,30263,30263,30263,20263,20263,CREDIT_SCALE_zz_r1_d2_a2p0_b03,zz_r1_d2_alpha2.0,zz_r1_d2,zz,NA,1,2,2.0
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b03,30263,30263,30263,20263,20263,CREDIT_SCALE_zz_r5_d2_a0p5_b03,zz_r5_d2_alpha0.5,zz_r5_d2,zz,NA,5,2,0.5
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b03,30263,30263,30263,20263,20263,CREDIT_SCALE_zz_r5_d2_a2p0_b03,zz_r5_d2_alpha2.0,zz_r5_d2,zz,NA,5,2,2.0
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b03,30263,30263,30263,20263,20263,CREDIT_SCALE_eff_su2_r1_d2_a0p5_b03,eff_su2_r1_d2_alpha0.5,eff_su2_r1_d2,eff_su2,cx,1,2,0.5
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b03,30263,30263,30263,20263,20263,CREDIT_SCALE_eff_su2_r1_d2_a2p0_b03,eff_su2_r1_d2_alpha2.0,eff_su2_r1_d2,eff_su2,cx,1,2,2.0
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b03,30263,30263,30263,20263,20263,CREDIT_SCALE_eff_su2_r5_d2_a0p5_b03,eff_su2_r5_d2_alpha0.5,eff_su2_r5_d2,eff_su2,cx,5,2,0.5
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b03,30263,30263,30263,20263,20263,CREDIT_SCALE_eff_su2_r5_d2_a2p0_b03,eff_su2_r5_d2_alpha2.0,eff_su2_r5_d2,eff_su2,cx,5,2,2.0
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b04,30264,30264,30264,20264,20264,CREDIT_SCALE_z_r1_d2_a0p5_b04,z_r1_d2_alpha0.5,z_r1_d2,z,NA,1,2,0.5
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b04,30264,30264,30264,20264,20264,CREDIT_SCALE_z_r1_d2_a2p0_b04,z_r1_d2_alpha2.0,z_r1_d2,z,NA,1,2,2.0
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b04,30264,30264,30264,20264,20264,CREDIT_SCALE_z_r5_d2_a0p5_b04,z_r5_d2_alpha0.5,z_r5_d2,z,NA,5,2,0.5
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b04,30264,30264,30264,20264,20264,CREDIT_SCALE_z_r5_d2_a2p0_b04,z_r5_d2_alpha2.0,z_r5_d2,z,NA,5,2,2.0
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b04,30264,30264,30264,20264,20264,CREDIT_SCALE_zz_r1_d2_a0p5_b04,zz_r1_d2_alpha0.5,zz_r1_d2,zz,NA,1,2,0.5
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b04,30264,30264,30264,20264,20264,CREDIT_SCALE_zz_r1_d2_a2p0_b04,zz_r1_d2_alpha2.0,zz_r1_d2,zz,NA,1,2,2.0
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b04,30264,30264,30264,20264,20264,CREDIT_SCALE_zz_r5_d2_a0p5_b04,zz_r5_d2_alpha0.5,zz_r5_d2,zz,NA,5,2,0.5
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b04,30264,30264,30264,20264,20264,CREDIT_SCALE_zz_r5_d2_a2p0_b04,zz_r5_d2_alpha2.0,zz_r5_d2,zz,NA,5,2,2.0
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b04,30264,30264,30264,20264,20264,CREDIT_SCALE_eff_su2_r1_d2_a0p5_b04,eff_su2_r1_d2_alpha0.5,eff_su2_r1_d2,eff_su2,cx,1,2,0.5
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b04,30264,30264,30264,20264,20264,CREDIT_SCALE_eff_su2_r1_d2_a2p0_b04,eff_su2_r1_d2_alpha2.0,eff_su2_r1_d2,eff_su2,cx,1,2,2.0
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b04,30264,30264,30264,20264,20264,CREDIT_SCALE_eff_su2_r5_d2_a0p5_b04,eff_su2_r5_d2_alpha0.5,eff_su2_r5_d2,eff_su2,cx,5,2,0.5
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b04,30264,30264,30264,20264,20264,CREDIT_SCALE_eff_su2_r5_d2_a2p0_b04,eff_su2_r5_d2_alpha2.0,eff_su2_r5_d2,eff_su2,cx,5,2,2.0
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b05,30265,30265,30265,20265,20265,CREDIT_SCALE_z_r1_d2_a0p5_b05,z_r1_d2_alpha0.5,z_r1_d2,z,NA,1,2,0.5
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b05,30265,30265,30265,20265,20265,CREDIT_SCALE_z_r1_d2_a2p0_b05,z_r1_d2_alpha2.0,z_r1_d2,z,NA,1,2,2.0
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b05,30265,30265,30265,20265,20265,CREDIT_SCALE_z_r5_d2_a0p5_b05,z_r5_d2_alpha0.5,z_r5_d2,z,NA,5,2,0.5
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b05,30265,30265,30265,20265,20265,CREDIT_SCALE_z_r5_d2_a2p0_b05,z_r5_d2_alpha2.0,z_r5_d2,z,NA,5,2,2.0
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b05,30265,30265,30265,20265,20265,CREDIT_SCALE_zz_r1_d2_a0p5_b05,zz_r1_d2_alpha0.5,zz_r1_d2,zz,NA,1,2,0.5
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b05,30265,30265,30265,20265,20265,CREDIT_SCALE_zz_r1_d2_a2p0_b05,zz_r1_d2_alpha2.0,zz_r1_d2,zz,NA,1,2,2.0
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b05,30265,30265,30265,20265,20265,CREDIT_SCALE_zz_r5_d2_a0p5_b05,zz_r5_d2_alpha0.5,zz_r5_d2,zz,NA,5,2,0.5
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b05,30265,30265,30265,20265,20265,CREDIT_SCALE_zz_r5_d2_a2p0_b05,zz_r5_d2_alpha2.0,zz_r5_d2,zz,NA,5,2,2.0
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b05,30265,30265,30265,20265,20265,CREDIT_SCALE_eff_su2_r1_d2_a0p5_b05,eff_su2_r1_d2_alpha0.5,eff_su2_r1_d2,eff_su2,cx,1,2,0.5
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b05,30265,30265,30265,20265,20265,CREDIT_SCALE_eff_su2_r1_d2_a2p0_b05,eff_su2_r1_d2_alpha2.0,eff_su2_r1_d2,eff_su2,cx,1,2,2.0
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b05,30265,30265,30265,20265,20265,CREDIT_SCALE_eff_su2_r5_d2_a0p5_b05,eff_su2_r5_d2_alpha0.5,eff_su2_r5_d2,eff_su2,cx,5,2,0.5
satml_credit_scaling,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b05,30265,30265,30265,20265,20265,CREDIT_SCALE_eff_su2_r5_d2_a2p0_b05,eff_su2_r5_d2_alpha2.0,eff_su2_r5_d2,eff_su2,cx,5,2,2.0
