experiment,dataset,architecture,source_run_id,n_wires,pad_mode,fm_ent,ql_ent,ql_op,ql_rev,batch_size,epochs,extra_feats,learning_rate,weight_decay,seed,model_seed,init_seed,data_seed,split_seed,block_id,vector_train,vector_valid,vector_test,wdbc_data_path,wdbc_pca_components,target_id,role,structural_cell_id,fm_kind,fm_op,reps,depth,feature_angle_scale
satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90263,90263,90263,80263,80263,wdbc_b03,160,80,329,data/wdbc/wdbc.csv.gz,6,WDBC_QNN_z_r1_d2_b03,z_r1_d2,z_r1_d2,z,NA,1,2,1.0
satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90263,90263,90263,80263,80263,wdbc_b03,160,80,329,data/wdbc/wdbc.csv.gz,6,WDBC_QNN_z_r5_d2_b03,z_r5_d2,z_r5_d2,z,NA,5,2,1.0
satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90263,90263,90263,80263,80263,wdbc_b03,160,80,329,data/wdbc/wdbc.csv.gz,6,WDBC_QNN_zz_r1_d2_b03,zz_r1_d2,zz_r1_d2,zz,NA,1,2,1.0
satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90263,90263,90263,80263,80263,wdbc_b03,160,80,329,data/wdbc/wdbc.csv.gz,6,WDBC_QNN_zz_r5_d2_b03,zz_r5_d2,zz_r5_d2,zz,NA,5,2,1.0
satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90263,90263,90263,80263,80263,wdbc_b03,160,80,329,data/wdbc/wdbc.csv.gz,6,WDBC_QNN_eff_su2_r1_d2_b03,eff_su2_r1_d2,eff_su2_r1_d2,eff_su2,cx,1,2,1.0
satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90263,90263,90263,80263,80263,wdbc_b03,160,80,329,data/wdbc/wdbc.csv.gz,6,WDBC_QNN_eff_su2_r5_d2_b03,eff_su2_r5_d2,eff_su2_r5_d2,eff_su2,cx,5,2,1.0
satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90264,90264,90264,80264,80264,wdbc_b04,160,80,329,data/wdbc/wdbc.csv.gz,6,WDBC_QNN_z_r1_d2_b04,z_r1_d2,z_r1_d2,z,NA,1,2,1.0
satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90264,90264,90264,80264,80264,wdbc_b04,160,80,329,data/wdbc/wdbc.csv.gz,6,WDBC_QNN_z_r5_d2_b04,z_r5_d2,z_r5_d2,z,NA,5,2,1.0
satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90264,90264,90264,80264,80264,wdbc_b04,160,80,329,data/wdbc/wdbc.csv.gz,6,WDBC_QNN_zz_r1_d2_b04,zz_r1_d2,zz_r1_d2,zz,NA,1,2,1.0
satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90264,90264,90264,80264,80264,wdbc_b04,160,80,329,data/wdbc/wdbc.csv.gz,6,WDBC_QNN_zz_r5_d2_b04,zz_r5_d2,zz_r5_d2,zz,NA,5,2,1.0
satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90264,90264,90264,80264,80264,wdbc_b04,160,80,329,data/wdbc/wdbc.csv.gz,6,WDBC_QNN_eff_su2_r1_d2_b04,eff_su2_r1_d2,eff_su2_r1_d2,eff_su2,cx,1,2,1.0
satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90264,90264,90264,80264,80264,wdbc_b04,160,80,329,data/wdbc/wdbc.csv.gz,6,WDBC_QNN_eff_su2_r5_d2_b04,eff_su2_r5_d2,eff_su2_r5_d2,eff_su2,cx,5,2,1.0
satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90265,90265,90265,80265,80265,wdbc_b05,160,80,329,data/wdbc/wdbc.csv.gz,6,WDBC_QNN_z_r1_d2_b05,z_r1_d2,z_r1_d2,z,NA,1,2,1.0
satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90265,90265,90265,80265,80265,wdbc_b05,160,80,329,data/wdbc/wdbc.csv.gz,6,WDBC_QNN_z_r5_d2_b05,z_r5_d2,z_r5_d2,z,NA,5,2,1.0
satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90265,90265,90265,80265,80265,wdbc_b05,160,80,329,data/wdbc/wdbc.csv.gz,6,WDBC_QNN_zz_r1_d2_b05,zz_r1_d2,zz_r1_d2,zz,NA,1,2,1.0
satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90265,90265,90265,80265,80265,wdbc_b05,160,80,329,data/wdbc/wdbc.csv.gz,6,WDBC_QNN_zz_r5_d2_b05,zz_r5_d2,zz_r5_d2,zz,NA,5,2,1.0
satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90265,90265,90265,80265,80265,wdbc_b05,160,80,329,data/wdbc/wdbc.csv.gz,6,WDBC_QNN_eff_su2_r1_d2_b05,eff_su2_r1_d2,eff_su2_r1_d2,eff_su2,cx,1,2,1.0
satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90265,90265,90265,80265,80265,wdbc_b05,160,80,329,data/wdbc/wdbc.csv.gz,6,WDBC_QNN_eff_su2_r5_d2_b05,eff_su2_r5_d2,eff_su2_r5_d2,eff_su2,cx,5,2,1.0
