experiment,dataset,architecture,fm_kind,reps,depth,n_wires,model_seed,data_seed,structural_cell_id,risk_role,comparison_group,selection_order,original_acc_train,original_acc_test,original_gap,selection_basis,target_id,mode,shots,simulator_seed,transpiler_seed,backend_name,noise_model_loaded,quantum_execution_scope,train_accuracy,test_accuracy,accuracy_gap,train_loss,test_loss,loss_gap,n_member,n_nonmember,fpr_resolution,attack,roc_auc,auc_record_ci95_low,auc_record_ci95_high,auc_record_bootstrap_valid,auc_record_ci_method,auc_record_bootstrap_unit,auc_record_bootstrap_replicates,balanced_accuracy,membership_advantage,crossfit_tpr,crossfit_fpr,crossfit_folds,tpr_at_5pct_fpr,attained_fpr_for_5pct,tpr_at_10pct_fpr,attained_fpr_for_10pct
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,43,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s43,exact,0,-1,2026,none,False,exact_full_model,0.79,0.75,0.040000000000000036,0.5472866800799966,0.6041101982817054,0.056823518201708834,100,100,0.01,loss,0.5128999999999999,0.43079999999999996,0.596105,5000,95% stratified percentile bootstrap over member/nonmember records,records_within_fixed_target_condition,5000,0.515,0.030000000000000027,0.33,0.3,5,0.03,0.03,0.09,0.1
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,43,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s43,exact,0,-1,2026,none,False,exact_full_model,0.79,0.75,0.040000000000000036,0.5472866800799966,0.6041101982817054,0.056823518201708834,100,100,0.01,confidence,0.4903,0.40859500000000004,0.5715999999999999,5000,95% stratified percentile bootstrap over member/nonmember records,records_within_fixed_target_condition,5000,0.515,0.03,0.26,0.23,5,0.03,0.03,0.09,0.1
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,43,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s43,exact,0,-1,2026,none,False,exact_full_model,0.79,0.75,0.040000000000000036,0.5472866800799966,0.6041101982817054,0.056823518201708834,100,100,0.01,correctness,0.52,0.46,0.575,5000,95% stratified percentile bootstrap over member/nonmember records,records_within_fixed_target_condition,5000,0.52,0.040000000000000036,0.79,0.75,5,0.0,0.0,0.0,0.0
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,43,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s43,ideal_shot,128,0,2026,ibm_kingston,False,full_main_quantum_stack,0.62,0.69,-0.06999999999999995,0.840071163030807,0.7479431103449314,-0.09212805268587554,100,100,0.01,loss,0.489,0.4103,0.5673999999999999,5000,95% stratified percentile bootstrap over member/nonmember records,records_within_fixed_target_condition,5000,0.525,0.04999999999999999,0.37,0.32,5,0.02,0.04,0.06,0.09
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,43,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s43,ideal_shot,128,0,2026,ibm_kingston,False,full_main_quantum_stack,0.62,0.69,-0.06999999999999995,0.840071163030807,0.7479431103449314,-0.09212805268587554,100,100,0.01,confidence,0.5149,0.4343,0.5944049999999999,5000,95% stratified percentile bootstrap over member/nonmember records,records_within_fixed_target_condition,5000,0.48,-0.040000000000000036,0.49,0.53,5,0.02,0.04,0.06,0.09
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,43,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s43,ideal_shot,128,0,2026,ibm_kingston,False,full_main_quantum_stack,0.62,0.69,-0.06999999999999995,0.840071163030807,0.7479431103449314,-0.09212805268587554,100,100,0.01,correctness,0.465,0.4,0.53,5000,95% stratified percentile bootstrap over member/nonmember records,records_within_fixed_target_condition,5000,0.45499999999999996,-0.09,0.09,0.18,5,0.0,0.0,0.0,0.0
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,43,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s43,ideal_shot,128,1,2026,ibm_kingston,False,full_main_quantum_stack,0.59,0.56,0.029999999999999916,0.8267228129645809,1.0004634714650456,0.1737406585004646,100,100,0.01,loss,0.5426,0.4624,0.6212025,5000,95% stratified percentile bootstrap over member/nonmember records,records_within_fixed_target_condition,5000,0.48,-0.040000000000000036,0.48,0.52,5,0.04,0.05,0.2,0.1
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,43,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s43,ideal_shot,128,1,2026,ibm_kingston,False,full_main_quantum_stack,0.59,0.56,0.029999999999999916,0.8267228129645809,1.0004634714650456,0.1737406585004646,100,100,0.01,confidence,0.4889,0.4089974999999999,0.5713025,5000,95% stratified percentile bootstrap over member/nonmember records,records_within_fixed_target_condition,5000,0.54,0.08000000000000002,0.2,0.12,5,0.03,0.05,0.17,0.1
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,43,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s43,ideal_shot,128,1,2026,ibm_kingston,False,full_main_quantum_stack,0.59,0.56,0.029999999999999916,0.8267228129645809,1.0004634714650456,0.1737406585004646,100,100,0.01,correctness,0.5149999999999999,0.44500000000000006,0.585,5000,95% stratified percentile bootstrap over member/nonmember records,records_within_fixed_target_condition,5000,0.5,0.0,0.46,0.46,5,0.0,0.0,0.0,0.0
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,43,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s43,ideal_shot,128,2,2026,ibm_kingston,False,full_main_quantum_stack,0.62,0.67,-0.050000000000000044,0.8279736455809324,0.8049050819675904,-0.023068563613342086,100,100,0.01,loss,0.47050000000000003,0.3896975,0.5510025,5000,95% stratified percentile bootstrap over member/nonmember records,records_within_fixed_target_condition,5000,0.475,-0.050000000000000044,0.71,0.76,5,0.03,0.03,0.06,0.09
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,43,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s43,ideal_shot,128,2,2026,ibm_kingston,False,full_main_quantum_stack,0.62,0.67,-0.050000000000000044,0.8279736455809324,0.8049050819675904,-0.023068563613342086,100,100,0.01,confidence,0.4752,0.3966974999999999,0.553705,5000,95% stratified percentile bootstrap over member/nonmember records,records_within_fixed_target_condition,5000,0.45999999999999996,-0.07999999999999996,0.62,0.7,5,0.03,0.03,0.06,0.1
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,43,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s43,ideal_shot,128,2,2026,ibm_kingston,False,full_main_quantum_stack,0.62,0.67,-0.050000000000000044,0.8279736455809324,0.8049050819675904,-0.023068563613342086,100,100,0.01,correctness,0.475,0.41000000000000003,0.54,5000,95% stratified percentile bootstrap over member/nonmember records,records_within_fixed_target_condition,5000,0.5,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,43,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s43,ideal_shot,128,3,2026,ibm_kingston,False,full_main_quantum_stack,0.61,0.62,-0.010000000000000009,0.8998032276565209,0.9543590799346566,0.05455585227813575,100,100,0.01,loss,0.5075999999999999,0.42689749999999993,0.5891049999999999,5000,95% stratified percentile bootstrap over member/nonmember records,records_within_fixed_target_condition,5000,0.46499999999999997,-0.07000000000000006,0.6,0.67,5,0.05,0.04,0.12,0.08
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,43,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s43,ideal_shot,128,3,2026,ibm_kingston,False,full_main_quantum_stack,0.61,0.62,-0.010000000000000009,0.8998032276565209,0.9543590799346566,0.05455585227813575,100,100,0.01,confidence,0.4896,0.406395,0.5703075,5000,95% stratified percentile bootstrap over member/nonmember records,records_within_fixed_target_condition,5000,0.465,-0.06999999999999995,0.55,0.62,5,0.05,0.04,0.13,0.1
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,43,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s43,ideal_shot,128,3,2026,ibm_kingston,False,full_main_quantum_stack,0.61,0.62,-0.010000000000000009,0.8998032276565209,0.9543590799346566,0.05455585227813575,100,100,0.01,correctness,0.495,0.42500000000000004,0.56,5000,95% stratified percentile bootstrap over member/nonmember records,records_within_fixed_target_condition,5000,0.47,-0.06,0.07,0.13,5,0.0,0.0,0.0,0.0
