strategy,auxiliary_target_count,shots,simulator_seed,attack,n_subset_replicates,actual_fpr,calibrated_tpr
cross_cell_8,8,512,3,loss_mia,32,0.01,0.009333333333333334
cross_cell_8,8,512,4,affine_channel_lira,32,0.013333333333333334,0.025666666666666664
cross_cell_8,8,512,4,latent_lira_mismatched,32,0.013000000000000001,0.019333333333333334
cross_cell_8,8,512,4,loss_mia,32,0.013333333333333334,0.009000000000000001
cross_cell_8,8,512,5,affine_channel_lira,32,0.009666666666666667,0.026
cross_cell_8,8,512,5,latent_lira_mismatched,32,0.011333333333333334,0.018
cross_cell_8,8,512,5,loss_mia,32,0.015333333333333332,0.008
cross_cell_8,8,512,6,affine_channel_lira,32,0.013333333333333334,0.024
cross_cell_8,8,512,6,latent_lira_mismatched,32,0.012666666666666666,0.014666666666666666
cross_cell_8,8,512,6,loss_mia,32,0.014,0.007333333333333333
cross_cell_8,8,512,7,affine_channel_lira,32,0.012,0.022
cross_cell_8,8,512,7,latent_lira_mismatched,32,0.011333333333333334,0.014
cross_cell_8,8,512,7,loss_mia,32,0.012,0.009333333333333334
cross_cell_8,8,512,8,affine_channel_lira,32,0.011,0.027000000000000003
cross_cell_8,8,512,8,latent_lira_mismatched,32,0.014,0.019666666666666666
cross_cell_8,8,512,8,loss_mia,32,0.012666666666666666,0.009000000000000001
cross_cell_8,8,512,9,affine_channel_lira,32,0.011333333333333334,0.022
cross_cell_8,8,512,9,latent_lira_mismatched,32,0.014666666666666666,0.015
cross_cell_8,8,512,9,loss_mia,32,0.014333333333333333,0.008333333333333333
same_cell_2,2,1024,0,affine_channel_lira,1,0.011333333333333334,0.022
same_cell_2,2,1024,0,latent_lira_mismatched,1,0.012666666666666666,0.020666666666666667
same_cell_2,2,1024,0,loss_mia,1,0.014,0.010666666666666666
same_cell_2,2,1024,1,affine_channel_lira,1,0.014666666666666666,0.028666666666666667
same_cell_2,2,1024,1,latent_lira_mismatched,1,0.013333333333333334,0.021333333333333333
same_cell_2,2,1024,1,loss_mia,1,0.012666666666666666,0.014
same_cell_2,2,1024,2,affine_channel_lira,1,0.010666666666666666,0.025333333333333333
same_cell_2,2,1024,2,latent_lira_mismatched,1,0.011333333333333334,0.021333333333333333
same_cell_2,2,1024,2,loss_mia,1,0.014666666666666666,0.01
same_cell_2,2,1024,3,affine_channel_lira,1,0.011333333333333334,0.028
same_cell_2,2,1024,3,latent_lira_mismatched,1,0.01,0.018
same_cell_2,2,1024,3,loss_mia,1,0.010666666666666666,0.013333333333333334
same_cell_2,2,1024,4,affine_channel_lira,1,0.016,0.024666666666666667
same_cell_2,2,1024,4,latent_lira_mismatched,1,0.014,0.02
same_cell_2,2,1024,4,loss_mia,1,0.014,0.014
same_cell_2,2,1024,5,affine_channel_lira,1,0.008,0.027333333333333334
same_cell_2,2,1024,5,latent_lira_mismatched,1,0.011333333333333334,0.020666666666666667
same_cell_2,2,1024,5,loss_mia,1,0.013333333333333334,0.012666666666666666
same_cell_2,2,1024,6,affine_channel_lira,1,0.012666666666666666,0.024
same_cell_2,2,1024,6,latent_lira_mismatched,1,0.014,0.020666666666666667
same_cell_2,2,1024,6,loss_mia,1,0.011333333333333334,0.016666666666666666
same_cell_2,2,1024,7,affine_channel_lira,1,0.012,0.02666666666666667
same_cell_2,2,1024,7,latent_lira_mismatched,1,0.011333333333333334,0.02266666666666667
same_cell_2,2,1024,7,loss_mia,1,0.013333333333333334,0.016
same_cell_2,2,1024,8,affine_channel_lira,1,0.014,0.024666666666666667
same_cell_2,2,1024,8,latent_lira_mismatched,1,0.014,0.022
same_cell_2,2,1024,8,loss_mia,1,0.012,0.012666666666666666
same_cell_2,2,1024,9,affine_channel_lira,1,0.012666666666666666,0.023333333333333334
same_cell_2,2,1024,9,latent_lira_mismatched,1,0.012666666666666666,0.018666666666666668
same_cell_2,2,1024,9,loss_mia,1,0.012,0.012
same_cell_2,2,128,0,affine_channel_lira,1,0.010666666666666666,0.025333333333333333
same_cell_2,2,128,0,latent_lira_mismatched,1,0.010666666666666666,0.012666666666666666
same_cell_2,2,128,0,loss_mia,1,0.012,0.008
same_cell_2,2,128,1,affine_channel_lira,1,0.008666666666666666,0.020666666666666667
same_cell_2,2,128,1,latent_lira_mismatched,1,0.012,0.012666666666666666
same_cell_2,2,128,1,loss_mia,1,0.009333333333333334,0.008666666666666666
same_cell_2,2,128,2,affine_channel_lira,1,0.010666666666666666,0.023333333333333334
same_cell_2,2,128,2,latent_lira_mismatched,1,0.008,0.014
same_cell_2,2,128,2,loss_mia,1,0.010666666666666666,0.009333333333333334
same_cell_2,2,128,3,affine_channel_lira,1,0.011333333333333334,0.020666666666666667
same_cell_2,2,128,3,latent_lira_mismatched,1,0.008666666666666666,0.017333333333333333
same_cell_2,2,128,3,loss_mia,1,0.012,0.01
same_cell_2,2,128,4,affine_channel_lira,1,0.016666666666666666,0.025333333333333333
same_cell_2,2,128,4,latent_lira_mismatched,1,0.011333333333333334,0.012666666666666666
same_cell_2,2,128,4,loss_mia,1,0.012,0.01
same_cell_2,2,128,5,affine_channel_lira,1,0.01,0.023333333333333334
same_cell_2,2,128,5,latent_lira_mismatched,1,0.010666666666666666,0.016666666666666666
same_cell_2,2,128,5,loss_mia,1,0.012666666666666666,0.010666666666666666
same_cell_2,2,128,6,affine_channel_lira,1,0.010666666666666666,0.021333333333333333
same_cell_2,2,128,6,latent_lira_mismatched,1,0.008666666666666666,0.012
same_cell_2,2,128,6,loss_mia,1,0.012,0.008666666666666666
same_cell_2,2,128,7,affine_channel_lira,1,0.010666666666666666,0.027333333333333334
same_cell_2,2,128,7,latent_lira_mismatched,1,0.014666666666666666,0.015333333333333332
same_cell_2,2,128,7,loss_mia,1,0.016,0.014
same_cell_2,2,128,8,affine_channel_lira,1,0.01,0.025333333333333333
same_cell_2,2,128,8,latent_lira_mismatched,1,0.014,0.012
same_cell_2,2,128,8,loss_mia,1,0.01,0.009333333333333334
same_cell_2,2,128,9,affine_channel_lira,1,0.010666666666666666,0.02
same_cell_2,2,128,9,latent_lira_mismatched,1,0.017333333333333333,0.011333333333333334
same_cell_2,2,128,9,loss_mia,1,0.011333333333333334,0.012
same_cell_2,2,512,0,affine_channel_lira,1,0.012,0.023333333333333334
same_cell_2,2,512,0,latent_lira_mismatched,1,0.014666666666666666,0.02
same_cell_2,2,512,0,loss_mia,1,0.012666666666666666,0.01
same_cell_2,2,512,1,affine_channel_lira,1,0.016666666666666666,0.02666666666666667
same_cell_2,2,512,1,latent_lira_mismatched,1,0.017333333333333333,0.016666666666666666
same_cell_2,2,512,1,loss_mia,1,0.012,0.013333333333333334
same_cell_2,2,512,2,affine_channel_lira,1,0.010666666666666666,0.027333333333333334
same_cell_2,2,512,2,latent_lira_mismatched,1,0.012,0.02
same_cell_2,2,512,2,loss_mia,1,0.009333333333333334,0.012666666666666666
same_cell_2,2,512,3,affine_channel_lira,1,0.011333333333333334,0.025333333333333333
same_cell_2,2,512,3,latent_lira_mismatched,1,0.011333333333333334,0.018
same_cell_2,2,512,3,loss_mia,1,0.013333333333333334,0.011333333333333334
same_cell_2,2,512,4,affine_channel_lira,1,0.014,0.027333333333333334
same_cell_2,2,512,4,latent_lira_mismatched,1,0.010666666666666666,0.018666666666666668
same_cell_2,2,512,4,loss_mia,1,0.016666666666666666,0.010666666666666666
same_cell_2,2,512,5,affine_channel_lira,1,0.009333333333333334,0.02666666666666667
same_cell_2,2,512,5,latent_lira_mismatched,1,0.008666666666666666,0.018666666666666668
same_cell_2,2,512,5,loss_mia,1,0.012666666666666666,0.01
same_cell_2,2,512,6,affine_channel_lira,1,0.012666666666666666,0.024
same_cell_2,2,512,6,latent_lira_mismatched,1,0.014666666666666666,0.014666666666666666
same_cell_2,2,512,6,loss_mia,1,0.014666666666666666,0.009333333333333334
same_cell_2,2,512,7,affine_channel_lira,1,0.01,0.020666666666666667
same_cell_2,2,512,7,latent_lira_mismatched,1,0.011333333333333334,0.02
same_cell_2,2,512,7,loss_mia,1,0.011333333333333334,0.012666666666666666
same_cell_2,2,512,8,affine_channel_lira,1,0.014,0.026
same_cell_2,2,512,8,latent_lira_mismatched,1,0.01,0.018666666666666668
same_cell_2,2,512,8,loss_mia,1,0.014666666666666666,0.011333333333333334
same_cell_2,2,512,9,affine_channel_lira,1,0.01,0.024
same_cell_2,2,512,9,latent_lira_mismatched,1,0.010666666666666666,0.018
same_cell_2,2,512,9,loss_mia,1,0.012666666666666666,0.014
