target_id,experiment,model_seed,data_seed,command,log_path,model_path,attack_path,metrics_json,status,gpu,return_code,seconds,error
ARCH_eff_control_QNN_s43,architecture_control,43,43,/home/najeeb/.conda/envs/tq39_vv2/bin/python /home/najeeb/quarift_neurips_rebutal_2/experiments/qurift_main.py --model-type qnn --dataset mnist --target-id ARCH_eff_control_QNN_s43 --experiment-id architecture_control --run-id 1622 --model-seed 43 --data-seed 43 --random-ops 0 --vector-train 200 --vector-valid 200 --vector-test 200 --batch-size 16 --epochs 100 --n-wires 6 --depth 2 --qlayer-ent-kind linear --qlayer-twoq-op crz --fm-kind eff_su2 --train_target --export-attack-data --attack-feature-mode pv+stats --target-model-path /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_QNN_s43/target_model.pt --attack-data-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_QNN_s43/target_attack_data.pt --attack-metrics-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_QNN_s43/target_export_summary.json --learning-rate 0.01 --fm-eff-reps 1 --fm-eff-pad-mod wrap --fm-eff-ent-kind linear --fm-eff-twoq-op cx,reviewer_runs/architecture_control/ARCH_eff_control_QNN_s43/train.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_QNN_s43/target_model.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_QNN_s43/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_QNN_s43/target_export_summary.json,ok,7,0,170.381,
ARCH_eff_control_QNN_s44,architecture_control,44,43,/home/najeeb/.conda/envs/tq39_vv2/bin/python /home/najeeb/quarift_neurips_rebutal_2/experiments/qurift_main.py --model-type qnn --dataset mnist --target-id ARCH_eff_control_QNN_s44 --experiment-id architecture_control --run-id 1622 --model-seed 44 --data-seed 43 --random-ops 0 --vector-train 200 --vector-valid 200 --vector-test 200 --batch-size 16 --epochs 100 --n-wires 6 --depth 2 --qlayer-ent-kind linear --qlayer-twoq-op crz --fm-kind eff_su2 --train_target --export-attack-data --attack-feature-mode pv+stats --target-model-path /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_QNN_s44/target_model.pt --attack-data-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_QNN_s44/target_attack_data.pt --attack-metrics-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_QNN_s44/target_export_summary.json --learning-rate 0.01 --fm-eff-reps 1 --fm-eff-pad-mod wrap --fm-eff-ent-kind linear --fm-eff-twoq-op cx,reviewer_runs/architecture_control/ARCH_eff_control_QNN_s44/train.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_QNN_s44/target_model.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_QNN_s44/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_QNN_s44/target_export_summary.json,ok,7,0,169.292,
ARCH_low_reupload_HQNN_s44,architecture_control,44,43,/home/najeeb/.conda/envs/tq39_vv2/bin/python /home/najeeb/quarift_neurips_rebutal_2/experiments/qurift_main.py --model-type hqnn --dataset mnist --target-id ARCH_low_reupload_HQNN_s44 --experiment-id architecture_control --run-id 182 --model-seed 44 --data-seed 43 --random-ops 0 --vector-train 200 --vector-valid 200 --vector-test 200 --batch-size 16 --epochs 100 --n-wires 6 --depth 2 --qlayer-ent-kind linear --qlayer-twoq-op crz --fm-kind z --train_target --export-attack-data --attack-feature-mode pv+stats --target-model-path /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_low_reupload_HQNN_s44/target_model.pt --attack-data-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_low_reupload_HQNN_s44/target_attack_data.pt --attack-metrics-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_low_reupload_HQNN_s44/target_export_summary.json --learning-rate 0.01 --fm-z-reps 1 --fm-z-pad-mode wrap,reviewer_runs/architecture_control/ARCH_low_reupload_HQNN_s44/train.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_low_reupload_HQNN_s44/target_model.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_low_reupload_HQNN_s44/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_low_reupload_HQNN_s44/target_export_summary.json,ok,1,0,372.999,
ARCH_low_reupload_HQNN_s45,architecture_control,45,43,/home/najeeb/.conda/envs/tq39_vv2/bin/python /home/najeeb/quarift_neurips_rebutal_2/experiments/qurift_main.py --model-type hqnn --dataset mnist --target-id ARCH_low_reupload_HQNN_s45 --experiment-id architecture_control --run-id 182 --model-seed 45 --data-seed 43 --random-ops 0 --vector-train 200 --vector-valid 200 --vector-test 200 --batch-size 16 --epochs 100 --n-wires 6 --depth 2 --qlayer-ent-kind linear --qlayer-twoq-op crz --fm-kind z --train_target --export-attack-data --attack-feature-mode pv+stats --target-model-path /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_low_reupload_HQNN_s45/target_model.pt --attack-data-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_low_reupload_HQNN_s45/target_attack_data.pt --attack-metrics-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_low_reupload_HQNN_s45/target_export_summary.json --learning-rate 0.01 --fm-z-reps 1 --fm-z-pad-mode wrap,reviewer_runs/architecture_control/ARCH_low_reupload_HQNN_s45/train.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_low_reupload_HQNN_s45/target_model.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_low_reupload_HQNN_s45/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_low_reupload_HQNN_s45/target_export_summary.json,ok,1,0,371.53,
ARCH_eff_control_QNN_s45,architecture_control,45,43,/home/najeeb/.conda/envs/tq39_vv2/bin/python /home/najeeb/quarift_neurips_rebutal_2/experiments/qurift_main.py --model-type qnn --dataset mnist --target-id ARCH_eff_control_QNN_s45 --experiment-id architecture_control --run-id 1622 --model-seed 45 --data-seed 43 --random-ops 0 --vector-train 200 --vector-valid 200 --vector-test 200 --batch-size 16 --epochs 100 --n-wires 6 --depth 2 --qlayer-ent-kind linear --qlayer-twoq-op crz --fm-kind eff_su2 --train_target --export-attack-data --attack-feature-mode pv+stats --target-model-path /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_QNN_s45/target_model.pt --attack-data-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_QNN_s45/target_attack_data.pt --attack-metrics-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_QNN_s45/target_export_summary.json --learning-rate 0.01 --fm-eff-reps 1 --fm-eff-pad-mod wrap --fm-eff-ent-kind linear --fm-eff-twoq-op cx,reviewer_runs/architecture_control/ARCH_eff_control_QNN_s45/train.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_QNN_s45/target_model.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_QNN_s45/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_QNN_s45/target_export_summary.json,ok,7,0,173.914,
ARCH_eff_control_HQNN_s43,architecture_control,43,43,/home/najeeb/.conda/envs/tq39_vv2/bin/python /home/najeeb/quarift_neurips_rebutal_2/experiments/qurift_main.py --model-type hqnn --dataset mnist --target-id ARCH_eff_control_HQNN_s43 --experiment-id architecture_control --run-id 1622 --model-seed 43 --data-seed 43 --random-ops 0 --vector-train 200 --vector-valid 200 --vector-test 200 --batch-size 16 --epochs 100 --n-wires 6 --depth 2 --qlayer-ent-kind linear --qlayer-twoq-op crz --fm-kind eff_su2 --train_target --export-attack-data --attack-feature-mode pv+stats --target-model-path /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_HQNN_s43/target_model.pt --attack-data-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_HQNN_s43/target_attack_data.pt --attack-metrics-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_HQNN_s43/target_export_summary.json --learning-rate 0.01 --fm-eff-reps 1 --fm-eff-pad-mod wrap --fm-eff-ent-kind linear --fm-eff-twoq-op cx,reviewer_runs/architecture_control/ARCH_eff_control_HQNN_s43/train.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_HQNN_s43/target_model.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_HQNN_s43/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_HQNN_s43/target_export_summary.json,ok,7,0,188.406,
ARCH_eff_control_HQNN_s44,architecture_control,44,43,/home/najeeb/.conda/envs/tq39_vv2/bin/python /home/najeeb/quarift_neurips_rebutal_2/experiments/qurift_main.py --model-type hqnn --dataset mnist --target-id ARCH_eff_control_HQNN_s44 --experiment-id architecture_control --run-id 1622 --model-seed 44 --data-seed 43 --random-ops 0 --vector-train 200 --vector-valid 200 --vector-test 200 --batch-size 16 --epochs 100 --n-wires 6 --depth 2 --qlayer-ent-kind linear --qlayer-twoq-op crz --fm-kind eff_su2 --train_target --export-attack-data --attack-feature-mode pv+stats --target-model-path /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_HQNN_s44/target_model.pt --attack-data-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_HQNN_s44/target_attack_data.pt --attack-metrics-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_HQNN_s44/target_export_summary.json --learning-rate 0.01 --fm-eff-reps 1 --fm-eff-pad-mod wrap --fm-eff-ent-kind linear --fm-eff-twoq-op cx,reviewer_runs/architecture_control/ARCH_eff_control_HQNN_s44/train.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_HQNN_s44/target_model.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_HQNN_s44/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_HQNN_s44/target_export_summary.json,ok,1,0,294.826,
ARCH_eff_control_HQNN_s45,architecture_control,45,43,/home/najeeb/.conda/envs/tq39_vv2/bin/python /home/najeeb/quarift_neurips_rebutal_2/experiments/qurift_main.py --model-type hqnn --dataset mnist --target-id ARCH_eff_control_HQNN_s45 --experiment-id architecture_control --run-id 1622 --model-seed 45 --data-seed 43 --random-ops 0 --vector-train 200 --vector-valid 200 --vector-test 200 --batch-size 16 --epochs 100 --n-wires 6 --depth 2 --qlayer-ent-kind linear --qlayer-twoq-op crz --fm-kind eff_su2 --train_target --export-attack-data --attack-feature-mode pv+stats --target-model-path /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_HQNN_s45/target_model.pt --attack-data-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_HQNN_s45/target_attack_data.pt --attack-metrics-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_HQNN_s45/target_export_summary.json --learning-rate 0.01 --fm-eff-reps 1 --fm-eff-pad-mod wrap --fm-eff-ent-kind linear --fm-eff-twoq-op cx,reviewer_runs/architecture_control/ARCH_eff_control_HQNN_s45/train.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_HQNN_s45/target_model.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_HQNN_s45/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_HQNN_s45/target_export_summary.json,ok,1,0,296.615,
ARCH_eff_control_mlp_qnn_s43,architecture_control,43,43,/home/najeeb/.conda/envs/tq39_vv2/bin/python /home/najeeb/quarift_neurips_rebutal_2/experiments/qurift_main.py --model-type mlp_qnn --dataset mnist --target-id ARCH_eff_control_mlp_qnn_s43 --experiment-id architecture_control --run-id 1622 --model-seed 43 --data-seed 43 --random-ops 0 --vector-train 200 --vector-valid 200 --vector-test 200 --batch-size 16 --epochs 100 --n-wires 6 --depth 2 --qlayer-ent-kind linear --qlayer-twoq-op crz --fm-kind eff_su2 --train_target --export-attack-data --attack-feature-mode pv+stats --target-model-path /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_mlp_qnn_s43/target_model.pt --attack-data-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_mlp_qnn_s43/target_attack_data.pt --attack-metrics-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_mlp_qnn_s43/target_export_summary.json --learning-rate 0.01 --fm-eff-reps 1 --fm-eff-pad-mod wrap --fm-eff-ent-kind linear --fm-eff-twoq-op cx,reviewer_runs/architecture_control/ARCH_eff_control_mlp_qnn_s43/train.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_mlp_qnn_s43/target_model.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_mlp_qnn_s43/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_mlp_qnn_s43/target_export_summary.json,ok,1,0,37.789,
ARCH_eff_control_mlp_qnn_s44,architecture_control,44,43,/home/najeeb/.conda/envs/tq39_vv2/bin/python /home/najeeb/quarift_neurips_rebutal_2/experiments/qurift_main.py --model-type mlp_qnn --dataset mnist --target-id ARCH_eff_control_mlp_qnn_s44 --experiment-id architecture_control --run-id 1622 --model-seed 44 --data-seed 43 --random-ops 0 --vector-train 200 --vector-valid 200 --vector-test 200 --batch-size 16 --epochs 100 --n-wires 6 --depth 2 --qlayer-ent-kind linear --qlayer-twoq-op crz --fm-kind eff_su2 --train_target --export-attack-data --attack-feature-mode pv+stats --target-model-path /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_mlp_qnn_s44/target_model.pt --attack-data-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_mlp_qnn_s44/target_attack_data.pt --attack-metrics-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_mlp_qnn_s44/target_export_summary.json --learning-rate 0.01 --fm-eff-reps 1 --fm-eff-pad-mod wrap --fm-eff-ent-kind linear --fm-eff-twoq-op cx,reviewer_runs/architecture_control/ARCH_eff_control_mlp_qnn_s44/train.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_mlp_qnn_s44/target_model.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_mlp_qnn_s44/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_mlp_qnn_s44/target_export_summary.json,ok,1,0,45.011,
ARCH_eff_control_mlp_qnn_s45,architecture_control,45,43,/home/najeeb/.conda/envs/tq39_vv2/bin/python /home/najeeb/quarift_neurips_rebutal_2/experiments/qurift_main.py --model-type mlp_qnn --dataset mnist --target-id ARCH_eff_control_mlp_qnn_s45 --experiment-id architecture_control --run-id 1622 --model-seed 45 --data-seed 43 --random-ops 0 --vector-train 200 --vector-valid 200 --vector-test 200 --batch-size 16 --epochs 100 --n-wires 6 --depth 2 --qlayer-ent-kind linear --qlayer-twoq-op crz --fm-kind eff_su2 --train_target --export-attack-data --attack-feature-mode pv+stats --target-model-path /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_mlp_qnn_s45/target_model.pt --attack-data-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_mlp_qnn_s45/target_attack_data.pt --attack-metrics-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_mlp_qnn_s45/target_export_summary.json --learning-rate 0.01 --fm-eff-reps 1 --fm-eff-pad-mod wrap --fm-eff-ent-kind linear --fm-eff-twoq-op cx,reviewer_runs/architecture_control/ARCH_eff_control_mlp_qnn_s45/train.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_mlp_qnn_s45/target_model.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_mlp_qnn_s45/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_eff_control_mlp_qnn_s45/target_export_summary.json,ok,1,0,33.924,
ARCH_high_reupload_QNN_s43,architecture_control,43,43,/home/najeeb/.conda/envs/tq39_vv2/bin/python /home/najeeb/quarift_neurips_rebutal_2/experiments/qurift_main.py --model-type qnn --dataset mnist --target-id ARCH_high_reupload_QNN_s43 --experiment-id architecture_control --run-id 1070 --model-seed 43 --data-seed 43 --random-ops 0 --vector-train 200 --vector-valid 200 --vector-test 200 --batch-size 16 --epochs 100 --n-wires 6 --depth 6 --qlayer-ent-kind linear --qlayer-twoq-op crz --fm-kind zz --train_target --export-attack-data --attack-feature-mode pv+stats --target-model-path /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_high_reupload_QNN_s43/target_model.pt --attack-data-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_high_reupload_QNN_s43/target_attack_data.pt --attack-metrics-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_high_reupload_QNN_s43/target_export_summary.json --learning-rate 0.01 --fm-zz-reps 5 --fm-zz-pad-mode wrap --fm-zz-entanglement linear,reviewer_runs/architecture_control/ARCH_high_reupload_QNN_s43/train.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_high_reupload_QNN_s43/target_model.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_high_reupload_QNN_s43/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_high_reupload_QNN_s43/target_export_summary.json,ok,5,0,1100.981,
ARCH_high_reupload_QNN_s44,architecture_control,44,43,/home/najeeb/.conda/envs/tq39_vv2/bin/python /home/najeeb/quarift_neurips_rebutal_2/experiments/qurift_main.py --model-type qnn --dataset mnist --target-id ARCH_high_reupload_QNN_s44 --experiment-id architecture_control --run-id 1070 --model-seed 44 --data-seed 43 --random-ops 0 --vector-train 200 --vector-valid 200 --vector-test 200 --batch-size 16 --epochs 100 --n-wires 6 --depth 6 --qlayer-ent-kind linear --qlayer-twoq-op crz --fm-kind zz --train_target --export-attack-data --attack-feature-mode pv+stats --target-model-path /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_high_reupload_QNN_s44/target_model.pt --attack-data-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_high_reupload_QNN_s44/target_attack_data.pt --attack-metrics-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_high_reupload_QNN_s44/target_export_summary.json --learning-rate 0.01 --fm-zz-reps 5 --fm-zz-pad-mode wrap --fm-zz-entanglement linear,reviewer_runs/architecture_control/ARCH_high_reupload_QNN_s44/train.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_high_reupload_QNN_s44/target_model.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_high_reupload_QNN_s44/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_high_reupload_QNN_s44/target_export_summary.json,ok,5,0,1116.536,
ARCH_low_reupload_QCNN_s45,architecture_control,45,43,/home/najeeb/.conda/envs/tq39_vv2/bin/python /home/najeeb/quarift_neurips_rebutal_2/experiments/qurift_main.py --model-type qcnn --dataset mnist --target-id ARCH_low_reupload_QCNN_s45 --experiment-id architecture_control --run-id 182 --model-seed 45 --data-seed 43 --random-ops 0 --vector-train 200 --vector-valid 200 --vector-test 200 --batch-size 16 --epochs 100 --n-wires 6 --depth 2 --qlayer-ent-kind linear --qlayer-twoq-op crz --fm-kind z --train_target --export-attack-data --attack-feature-mode pv+stats --target-model-path /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_low_reupload_QCNN_s45/target_model.pt --attack-data-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_low_reupload_QCNN_s45/target_attack_data.pt --attack-metrics-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_low_reupload_QCNN_s45/target_export_summary.json --learning-rate 0.01 --fm-z-reps 1 --fm-z-pad-mode wrap,reviewer_runs/architecture_control/ARCH_low_reupload_QCNN_s45/train.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_low_reupload_QCNN_s45/target_model.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_low_reupload_QCNN_s45/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_low_reupload_QCNN_s45/target_export_summary.json,ok,0,0,1223.59,
ARCH_high_reupload_HQNN_s45,architecture_control,45,43,/home/najeeb/.conda/envs/tq39_vv2/bin/python /home/najeeb/quarift_neurips_rebutal_2/experiments/qurift_main.py --model-type hqnn --dataset mnist --target-id ARCH_high_reupload_HQNN_s45 --experiment-id architecture_control --run-id 1070 --model-seed 45 --data-seed 43 --random-ops 0 --vector-train 200 --vector-valid 200 --vector-test 200 --batch-size 16 --epochs 100 --n-wires 6 --depth 6 --qlayer-ent-kind linear --qlayer-twoq-op crz --fm-kind zz --train_target --export-attack-data --attack-feature-mode pv+stats --target-model-path /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_high_reupload_HQNN_s45/target_model.pt --attack-data-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_high_reupload_HQNN_s45/target_attack_data.pt --attack-metrics-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_high_reupload_HQNN_s45/target_export_summary.json --learning-rate 0.01 --fm-zz-reps 5 --fm-zz-pad-mode wrap --fm-zz-entanglement linear,reviewer_runs/architecture_control/ARCH_high_reupload_HQNN_s45/train.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_high_reupload_HQNN_s45/target_model.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_high_reupload_HQNN_s45/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_high_reupload_HQNN_s45/target_export_summary.json,ok,0,0,1335.978,
ARCH_high_reupload_HQNN_s44,architecture_control,44,43,/home/najeeb/.conda/envs/tq39_vv2/bin/python /home/najeeb/quarift_neurips_rebutal_2/experiments/qurift_main.py --model-type hqnn --dataset mnist --target-id ARCH_high_reupload_HQNN_s44 --experiment-id architecture_control --run-id 1070 --model-seed 44 --data-seed 43 --random-ops 0 --vector-train 200 --vector-valid 200 --vector-test 200 --batch-size 16 --epochs 100 --n-wires 6 --depth 6 --qlayer-ent-kind linear --qlayer-twoq-op crz --fm-kind zz --train_target --export-attack-data --attack-feature-mode pv+stats --target-model-path /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_high_reupload_HQNN_s44/target_model.pt --attack-data-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_high_reupload_HQNN_s44/target_attack_data.pt --attack-metrics-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_high_reupload_HQNN_s44/target_export_summary.json --learning-rate 0.01 --fm-zz-reps 5 --fm-zz-pad-mode wrap --fm-zz-entanglement linear,reviewer_runs/architecture_control/ARCH_high_reupload_HQNN_s44/train.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_high_reupload_HQNN_s44/target_model.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_high_reupload_HQNN_s44/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_high_reupload_HQNN_s44/target_export_summary.json,ok,3,0,1417.647,
ARCH_low_reupload_QCNN_s43,architecture_control,43,43,/home/najeeb/.conda/envs/tq39_vv2/bin/python /home/najeeb/quarift_neurips_rebutal_2/experiments/qurift_main.py --model-type qcnn --dataset mnist --target-id ARCH_low_reupload_QCNN_s43 --experiment-id architecture_control --run-id 182 --model-seed 43 --data-seed 43 --random-ops 0 --vector-train 200 --vector-valid 200 --vector-test 200 --batch-size 16 --epochs 100 --n-wires 6 --depth 2 --qlayer-ent-kind linear --qlayer-twoq-op crz --fm-kind z --train_target --export-attack-data --attack-feature-mode pv+stats --target-model-path /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_low_reupload_QCNN_s43/target_model.pt --attack-data-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_low_reupload_QCNN_s43/target_attack_data.pt --attack-metrics-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_low_reupload_QCNN_s43/target_export_summary.json --learning-rate 0.01 --fm-z-reps 1 --fm-z-pad-mode wrap,reviewer_runs/architecture_control/ARCH_low_reupload_QCNN_s43/train.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_low_reupload_QCNN_s43/target_model.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_low_reupload_QCNN_s43/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/architecture_control/ARCH_low_reupload_QCNN_s43/target_export_summary.json,ok,6,0,1221.091,
